Year Reported to CDP,Account Number,Organization,City,Country,,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update,Water 2014 - Number of drivers,City,lon,lat,Per capita Emissions (tonnes),Country total emissions 2020 (tonnes)
2019,50555,City of Hamilton,Hamilton,Canada,Canada,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Waste information directly from Public Works and reports to Ministry of Environment re: energy capture of methane control at landfill Transportation and Agriculture data from Statistics Canada Census Industrial (Steel Sector) GHG emissions data reported directly to Canada's National Pollutants Release Inventory (NPRI)  Commercial, Residential, Industrial (not Steel) from local electricity and natural gas utilities.",No,"CH4, CO2, N20",,,,,,,10752653,2602871,,8167864,13355524,Decreased,Other: Change in emission factors and usage,,558397,2017,POINT (-79.8661 43.25),2020-01-12T04:30:42.857,42,POINT,-79.8661,43.25,14.6273422,737274611.1
2018,31165,Stadt Heidelberg,Heidelberg,Germany,Germany,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,563517,453827,,967417,985990,Decreased,Technological change,,150054,2015,POINT (8.67243 49.3988),2020-01-12T04:30:40.780,38,POINT,8.67243,49.3988,6.447125701,913521821.4
2019,31165,Stadt Heidelberg,Heidelberg,Germany,Germany,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Institut für Energie- und Umweltforschung Heidelberg GmbH,No,"CH4, CO2, N20",,,,,,,563517,453827,,967417,985990,Decreased,,,147437,2018,POINT (8.67243 49.3988),2020-01-12T04:30:42.857,38,POINT,8.67243,49.3988,6.561561887,913521821.4
2018,58671,Helsingør Kommune / Elsinore Municipality,Helsingør,Denmark,Denmark,Europe,CDP Cities,public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,216124,264729,Decreased,Technological change,,62686,2017,POINT (12.5921 56.0308),2020-01-12T04:30:40.780,,POINT,12.5921,56.0308,3.447723575,49769171
2018,8242,City of Helsinki,Helsinki,Finland,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2184276,483663,0,2668060,,Decreased,Technological change,,644700,2017,POINT (24.941 60.1733),2020-01-12T04:30:40.780,,POINT,24.941,60.1733,4.138451993,57098928.85
2018,31164,Ho Chi Minh City,Ho Chi Minh,Viet Nam,#N/A,Southeast Asia and Oceania,"CDP Cities, C40",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,21885641,13229684,3357265,19432078,38472590,This is our first year of calculation,Lack of resource / funding overcome,,8611000,2017,POINT (106.66 10.7626),2020-01-12T04:30:40.780,144,POINT,106.66,10.7626,2.256657531,#N/A
2018,53254,City of Hobart,Hobart,Australia,Australia,Southeast Asia and Oceania,CDP Cities,public,Yes,2014-07-01 - 2015-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,399548,89068,9133,513016,,Decreased,Technological change,,50440,2016,POINT (147.281 -42.8901),2020-01-12T04:30:40.780,,POINT,147.281,-42.8901,10.17081681,556624251.1
2018,58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Denmark,Europe,CDP Cities,public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,142768,109441,0,252209,,Decreased,Technological change,,50246,2017,POINT (12.2898 55.6563),2020-01-12T04:30:40.780,,POINT,12.2898,55.6563,5.019484138,49769171
2019,31169,Government of Hong Kong Special Administrative Region,Hong Kong,China,China,East Asia,"CDP Cities, C40, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,41237525,27603630,,40222676,41510828,Increased,Increased energy/electricity consumption,,7451000,2018,POINT (114.14 22.2881),2020-01-12T04:30:42.857,,POINT,114.14,22.2881,5.39829231,14998680600
2018,31169,Government of Hong Kong Special Administrative Region,Hong Kong,China,China,East Asia,"CDP Cities, C40",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,41128067,27328327,,39841930,41128067,Decreased,Policy change,,7391700,2017,POINT (114.14 22.2881),2020-01-12T04:30:40.780,,POINT,114.14,22.2881,5.390090236,14998680600
2019,31108,City of Houston,Houston,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,19263921,13578513,571584,33414017,,This is our first year of calculation,Other,,2325502,2018,POINT (-95.3694 29.7602),2020-01-12T04:30:42.857,,POINT,-95.3694,29.7602,14.36851785,6718634480
2018,31108,City of Houston,Houston,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,19263921,13578513,571584,33414017,,Decreased,Technological change,,2349993,2016,POINT (-95.3694 29.7602),2020-01-12T04:30:40.780,,POINT,-95.3694,29.7602,14.21877299,6718634480
2018,60433,City of Hvidovre,Hvidovre,Denmark,Denmark,Europe,CDP Cities,public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,118724,100672,0,219396,219396,Decreased,Technological change,,52964,2017,POINT (12.4754 55.6425),2020-01-12T04:30:40.780,,POINT,12.4754,55.6425,4.142360849,49769171
2019,60433,City of Hvidovre,Hvidovre,Denmark,Denmark,Europe,"CDP Cities, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Calculations are made by web based tool provided by the Danish Government,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,148305,115792,0,245337,264098,Decreased,Technological change,,52380,2015,POINT (12.4754 55.6425),2020-01-12T04:30:42.857,,POINT,12.4754,55.6425,4.683791523,49769171
2018,43907,City of Indianapolis,Indianapolis,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,18687167,,Decreased,Technological change,,863000,2017,POINT (-86.1785 39.7676),2020-01-12T04:30:40.780,46,POINT,-86.1785,39.7676,21.65372769,6718634480
2019,43907,City of Indianapolis,Indianapolis,United States,United States,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The Indianapolis community greenhouse gas (GHG) inventory was prepared following the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)1. This Protocol has been adopted by communities around the Globe to ensure that each report that adheres to its principles is relevant, complete, consistent, transparent and accurate. This report uses the GPC city-induced Basic reporting level approach and provides an inventory of the GHGs released inside the Indianapolis geographic boundary during the years of 2010, 2013 and 2016.”Source: City of Indianapolis and Marion County Greenhouse Gas Emissions Inventory Report for 2010, 2013, and 2016 (p. 4)",No,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,1382323,14630253,,18687167,,Decreased,Technological change,,872680,2019,POINT (-86.1785 39.7676),2020-01-12T04:30:42.857,46,POINT,-86.1785,39.7676,21.41353875,6718634480
2018,54111,City of Iowa City,Iowa City,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,502858,430270,,933127,,Decreased,Change in weather conditions,,74398,2016,POINT (-91.5302 41.6611),2020-01-12T04:30:40.780,46,POINT,-91.5302,41.6611,12.54236673,6718634480
2018,54388,Iskandar Regional Development Authority,Iskandar,Malaysia,Malaysia,Southeast Asia and Oceania,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,19330000,6873851,,15560000,,Decreased,Policy change,,1900000,2017,POINT (100.992 5.71447),2020-01-12T04:30:40.780,,POINT,100.992,5.71447,8.189473684,409598126.7
2019,54388,Iskandar Regional Development Authority,Iskandar,Malaysia,Malaysia,Southeast Asia and Oceania,"CDP Cities, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Iskandar Malaysia was the first in Malaysia to adopt the GPC for Community-Scale Greenhouse Gas Emission Inventories (GPC).,No,"CH4, CO2, N20",,,,,,,19908092,7176564,,16200490,,Increased,Other: Increased GDP,,2090000,2017,POINT (100.992 5.71447),2020-01-12T04:30:42.857,,POINT,100.992,5.71447,7.751430622,409598126.7
2018,50394,Prefeitura Municipal de João Pessoa,João Pessoa,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2309846,194421,333232,1550999,,This is our first year of calculation,Lack of knowledge overcome,,723515,2010,POINT (-34.8639 -7.16882),2020-01-12T04:30:40.780,,POINT,-34.8639,-7.16882,2.143699854,1105067347
2019,50394,Prefeitura Municipal de João Pessoa,João Pessoa,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),O inventário adotou a metodologia GPC com orientação e supervisão do ICLEI América do Sul,No,"CH4, CO2, N20",,,,,,,2309846,194421,333232,1550999,0,This is our first year of calculation,,,723515,2010,POINT (-34.8639 -7.16882),2020-01-12T04:30:42.857,,POINT,-34.8639,-7.16882,2.143699854,1105067347
2019,31115,City of Johannesburg,Johannesburg,South Africa,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,15772974,,,24716713,27351000,Decreased,Financial conditions,,5000000,2017,POINT (28.0473 -26.2041),2020-01-12T04:30:42.857,222,POINT,28.0473,-26.2041,4.9433426,526818555.2
2018,31115,City of Johannesburg,Johannesburg,South Africa,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,15772974,,,24716713,27351000,Decreased,Financial conditions,,4900000,2016,POINT (28.0473 -26.2041),2020-01-12T04:30:40.780,222,POINT,28.0473,-26.2041,5.044227143,526818555.2
2018,49330,Kansas City,Kansas City,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,8131805,6288235,306164,10593687,10908792,Decreased,,,467007,2013,POINT (-94.573 39.1429),2020-01-12T04:30:40.780,46,POINT,-94.573,39.1429,22.68421458,6718634480
2018,31112,Kaohsiung City Government,Kaohsiung,Taiwan,Taiwan,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Combination of administrative divisions,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,69984178,15851972,3689704,36056822,25447556,Increased,Increased energy/electricity consumption,,2776912,2017,POINT (120.344 22.6297),2020-01-12T04:30:40.780,,POINT,120.344,22.6297,12.98450293,287778804.1
2018,54048,City of Knoxville,Knoxville,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2653938.45,,,4384809.69,,Do not know,,,186239,2016,POINT (-83.9207 35.9606),2020-01-12T04:30:40.780,46,POINT,-83.9207,35.9606,23.54399288,6718634480
2019,31167,City of Lagos,Lagos,Nigeria,Nigeria,Africa,"CDP Cities, C40, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,25640207,3693744,1684376,26443657,28128033,Decreased,Improved data accuracy,,21000000,2015,POINT (3.3792 6.52437),2020-01-12T04:30:42.857,,POINT,3.3792,6.52437,1.259221762,256629565.6
2018,31167,City of Lagos,Lagos,Nigeria,Nigeria,Africa,"CDP Cities, C40",public,Yes,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,25640207,3693744,1684376,29333951,31018327,This is our first year of calculation,,,24821418,2017,POINT (3.3792 6.52437),2020-01-12T04:30:40.780,,POINT,3.3792,6.52437,1.181799968,256629565.6
2019,54075,City of Lakewood,Lakewood,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,820994,628527,274051,1480119,,Decreased,Other: Cleaner electrical grid energy sources,,155000,2018,POINT (-105.081 39.7047),2020-01-12T04:30:42.857,46,POINT,-105.081,39.7047,9.549154839,6718634480
2018,54075,City of Lakewood,Lakewood,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,856008,774167,761183,1652223,,Decreased,Legislative change,,154368,2016,POINT (-105.081 39.7047),2020-01-12T04:30:40.780,46,POINT,-105.081,39.7047,10.70314443,6718634480
2018,58482,Ville de Laval,Laval,Canada,Canada,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2149211,8025,66100,2220901,2222631,Decreased,Technological change,,437413,2017,POINT (-73.7126 45.6207),2020-01-12T04:30:40.780,42,POINT,-73.7126,45.6207,5.077354811,737274611.1
2018,54529,City of Leicester,Leicester,United Kingdom,United Kingdom,Europe,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1043,379,383,1392,1804,Decreased,Technological change,,349500,2016,POINT (-1.1333 52.6333),2020-01-12T04:30:40.780,,POINT,-1.1333,52.6333,0.003982833,509072265.6
2019,54529,City of Leicester,Leicester,United Kingdom,United Kingdom,Europe,"CDP Cities, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,1019212.92,468460.17,356716.22,1486785.92,1674770.08,Decreased,Technological change,,353540,2017,POINT (-1.1333 52.6333),2020-01-12T04:30:42.857,,POINT,-1.1333,52.6333,4.205424902,509072265.6
2019,31170,Metropolitan Municipality of Lima,Lima,Peru,Peru,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,,,,15789438,,Do not know,Other: Se desconoce,,9485405,2017,POINT (-77.0283 -12.0433),2020-01-12T04:30:42.857,,POINT,-77.0283,-12.0433,1.664603462,119074962.9
2019,69848,Municipio de Loja,Loja,Ecuador,Ecuador,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,CO2,,,,,,,381960,41918,0,423878,0,This is our first year of calculation,Lack of knowledge overcome,,214855,2010,POINT (-3.99313 -79.2042),2020-01-12T04:30:42.857,,POINT,-3.99313,-79.2042,1.972856112,64401636.28
2018,3422,Greater London Authority,London,United Kingdom,United Kingdom,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,20949542.7,13940871,3558480.66,33680515.21,35890190.55,Decreased,Technological change,,8883800,2017,POINT (-0.07868 51.5048),2020-01-12T04:30:40.780,,POINT,-0.07868,51.5048,3.791228439,509072265.6
2018,50558,"City of London, ON","London, ON",Canada,Canada,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2780300,100000,31000,2911300,2911300,Decreased,Technological change,,383822,2016,POINT (-81.2497 42.9837),2020-01-12T04:30:40.780,42,POINT,-81.2497,42.9837,7.585026392,737274611.1
2019,54625,Prefeitura de Londrina,Londrina,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"A Metodologia GPC foi criada pelo ICLEI em parceria com a WRI (World Resources Institute) e a C40 (Climate Leadership Group) em 2014, tendo como base os Manuais para Inventários de GEE Nacionais de 2006, publicados pelo IPCC. A GPC tem como objetivo ser uma metodologia robusta e clara, que permita maior agregação e confiabilidade de dados e comparações mais confiáveis entre diferentes inventários, pré-estabelecendo requisitos e provendo orientações para os cálculos e reportes de resultados dos inventários.",No,"CH4, CO2, N20",,,,,,,1026070,154376,17109,1279855,,Increased,Population increase,,506701,2010,POINT (-51.1505 -23.3356),2020-01-12T04:30:42.857,213,POINT,-51.1505,-23.3356,2.525858445,1105067347
2018,50551,City of Long Beach,Long Beach,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,4148034,696847,442099,3090177,3355882,This is our first year of calculation,,,470130,2017,POINT (-118.194 33.7701),2020-01-12T04:30:40.780,,POINT,-118.194,33.7701,6.57302661,6718634480
2018,49333,"City of Louisville, KY",Louisville,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,20804701,9883480,1715766,16000537,21554911,Decreased,Technological change,,771158,2017,POINT (-85.6784 38.196),2020-01-12T04:30:40.780,46,POINT,-85.6784,38.196,20.74871427,6718634480
2019,50382,Municipio de Mérida,Mérida,Mexico,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Los datos de actividad obtenidos para el municipio de Mérida permitieron realizar una estimación de Nivel 1, que es el nivel básico de acuerdo a la metodología del GPC ( 2006); ya que, aunque se contó con datos del 2014 de los consumos energéticos a nivel sectorial, no se obtuvieron datos sobre las tecnologías empleadas o factores de emisión propios.",No,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,,,,3262192,,Do not know,Change in staff,,892363,2015,POINT (-89.5926 20.9674),2020-01-12T04:30:42.857,,POINT,-89.5926,20.9674,3.655678239,730501018.5
2019,31171,Ayuntamiento de Madrid,Madrid,Spain,Spain,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,7131195,3118428,443477,9443598,10546156,Decreased,Other: Reduction of emissions at National Electricity Grid  Scale,,3221,2018,POINT (-3.38756 40.1076),2020-01-12T04:30:42.857,80,POINT,-3.38756,40.1076,2931.883887,350341744.7
2018,43940,Malmö Stad,Malmö,Sweden,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,673433,190343,,863749,,Decreased,Change in data collection methods,,333633,2017,POINT (13.0038 55.605),2020-01-12T04:30:40.780,,POINT,13.0038,55.605,2.588919561,55116270.55
2018,59653,"City of Manhattan Beach, CA",Manhattan Beach,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,175766.69,43428.06,15533.35,224717.09,234728.1,Decreased,Policy change,,35881,2014,POINT (-118.405 33.8889),2020-01-12T04:30:40.780,,POINT,-118.405,33.8889,6.262843566,6718634480
2018,35873,Municipality of Medellín,Medellín,Colombia,Colombia,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2193277,590864,630063,3414204,,,,,2464.322,2015,POINT (-75.5735 6.22729),2020-01-12T04:30:40.780,146,POINT,-75.5735,6.22729,1385.453687,219596531.5
2018,36410,City of Memphis,Memphis,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,9372709,6296158,392390,16061257,,Increased,Change in accounting methodology,,652236,2017,POINT (-90.049 35.1495),2020-01-12T04:30:40.780,46,POINT,-90.049,35.1495,24.62491644,6718634480
2018,50357,Ciudad de Mendoza,Mendoza,Argentina,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,39246500,14777757,15965039,61862524,69989296,Increased,Emissions reduction actions not implemented,,115041,2010,POINT (-68.8458 -32.8894),2020-01-12T04:30:40.780,231,POINT,-68.8458,-32.8894,537.7432741,389306260.5
2018,31172,Mexico City,Mexico City,Mexico,Mexico,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,21327895.49,6446871.15,12937124.05,32087693.68,40487313.04,Increased,Improved data accuracy,,8833416,2016,POINT (-99.1332 19.4326),2020-01-12T04:30:40.780,117,POINT,-99.1332,19.4326,3.632535101,730501018.5
2018,63999,"City of Miami Beach, FL",Miami Beach,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,311043.23,796476.58,92016.35,1199536.16,,,,,91917,2016,POINT (-80.13 25.7906),2020-01-12T04:30:40.780,,POINT,-80.13,25.7906,13.05021008,6718634480
2019,31173,Comune di Milano,Milano,Italy,Italy,Europe,"CDP Cities, C40, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,4008005.06,2346844,166687,5965717.96,6131035.44,Decreased,,,1395274,2018,POINT (9.08635 45.8026),2020-01-12T04:30:42.857,50,POINT,9.08635,45.8026,4.275660523,427008841.8
